var_name,summary,question,valid_labels,missing_labels
V161109,PRE: R living with how many family members,Now on another topic. How many family members are living with you?,,"-9. Refused
"
V161110,PRE: R how much better worse off than 1 year ago,"IF R IS NOT LIVING A T HOME WITH F AMIL Y MEMBERS / IF R IS LIVING A T HOME WITH 1 OR MORE F AMIL Y MEMBERS: W e are interested in how people are getting along financially these days. W ould you say that [you /you and your family living here] are [much better off financially , somewhat better off, about the same, somewhat worse off, or much worse off / much worse off financially , somewhat worse off, about the same, somewhat better off, or much better off] than you were a year ago? F orward/reverse response option order","1. Much better off
2. Somewhat better off
3. About the same
4. Somewhat worse off
5. Much worse off
","-8. Don’t know (FTF only)
-9. Refused
"
V161111,PRE: R how much better worse off next year,"IF R IS NOT LIVING A T HOME WITH F AMIL Y MEMBERS / IF R IS LIVING A T HOME WITH 1 OR MORE F AMIL Y MEMBERS: Now looking ahead, do you think that a year from now [you /you and your family living here] will be [much better off financially , somewhat better off, about the same, somewhat worse off, or much worse off / much worse off financially , somewhat worse off, about the same, somewhat better off, or much better off] than now? F orward/reverse response option order","1. Much better off
2. Somewhat better off
3. About the same
4. Somewhat worse off
5. Much worse off
","-8. Don’t know (FTF only)
-9. Refused
"
V161112,PRE: Does R have health insurance,Do you presently have any kind of health insurance?,"1. Y es
2. No
","-8. Don’t know (FTF only)
-9. Refused
"
V161113,PRE: F avor or oppose 2010 health care law,"Do you favor, oppose, or neither favor nor oppose the health care reform law passed in 2010? This law requires all Americans to buy health insurance and requires health insurance companies to accept everyone.","1. F avor
2. Oppose
3. Neither favor nor oppose
","-8. Don’t know (FTF only)
"
V161114a,PRE: Strength favor 2010 health care law,"IF R F A VORS THE 2010 HEAL TH CARE LA W: Do you favor that [a great deal, moderately , or a little / a little, moderately , or a great deal]? F orward/reverse response option order","1. A great deal
2. Moderately
3. A little
1. F avor a great deal
2. F avor moderately
3. F avor a little
4. Neither favor nor oppose
5. Oppose a little
6. Oppose moderately
7. Oppose a great deal","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
-1. INAP , -8,-9 in"
V161114b,PRE: Strength oppose 2010 health care law,"IF R OPPOSES THE 2010 HEAL TH CARE LA W: Do you oppose that [a great deal, moderately , or a little / a little, moderately , or a great deal]? F orward/reverse response option order","1. A great deal
2. Moderately
3. A little","-1. INAP ,"
V161114x,PRE: Summary: favor/oppose 2010 health care law,Not applicable,,
V161115,PRE: Self-evaluation of R health,"W ould you say that in general your health is [excellent, very good, good, fair, or poor / poor, fair, good, very good, or excellent]? F orward/reverse response option order","1. Excellent
2. V ery good
3. Good
4. F air
5. Poor
","-9. Refused
"
V161116,PRE: Affect for Democratic Pres cand: angry,"IF ANGR Y IS 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CAN- DIDA TE / IF ANGR Y IS NOT 1ST AFFECT FOR DEMOCRA TIC PRES- IDENTIAL CANDIDA TE : [Think about Hillary Clinton] How often would you say you’ve felt angry because of the kind of person Hillary Clinton is or because of something she has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161117,PRE: Affect for Democratic Pres cand: hopeful,"IF HOPEFUL IS 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CANDIDA TE / IF HOPEFUL IS NOT 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CANDIDA TE : [Think about Hillary Clinton] How often would you say you’ve felt hopeful because of the kind of person Hillary Clinton is or because of something she has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161118,PRE: Affect for Democratic Pres cand: afraid,"IF AFRAID IS 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CANDIDA TE / IF AFRAID IS NOT 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CANDIDA TE : [Think about Hillary Clinton] How often would you say you’ve felt afraid because of the kind of person Hillary Clinton is or because of something she has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161119,PRE: Affect for Democratic Pres cand: proud,"IF PROUD IS 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CAN- DIDA TE / IF PROUD IS NOT 1ST AFFECT FOR DEMOCRA TIC PRES- IDENTIAL CANDIDA TE : [Think about Hillary Clinton] How often would you say you’ve felt proud because of the kind of person Hillary Clinton is or because of something she has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161120,PRE: Affect for Democratic Pres cand: disgusted,"IF DISGUSTED IS 1ST AFFECT FOR DEMOCRA TIC PRESIDENTIAL CANDIDA TE / IF DISGUSTED IS NOT 1ST AFFECT FOR DEMO- CRA TIC PRESIDENTIAL CANDIDA TE : [Think about Hillary Clinton] How often would you say you’ve felt disgusted because of the kind of person Hillary Clinton is or because of something she has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161121,PRE: Affect for Republican Pres cand: angry,"IF ANGR Y IS 1ST AFFECT FOR REPUBLICAN PRESIDENTIAL CAN- DIDA TE / IF ANGR Y IS NOT 1ST AFFECT FOR REPUBLICAN PRES- IDENTIAL CANDIDA TE : [Think about Donald T rump] How often would you say you’ve felt angry because of the kind of person Donald T rump is or because of something he has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161122,PRE: Affect for Republican Pres cand: hopeful,"IF HOPEFUL IS 1ST AFFECT FOR REPUBLICAN PRESIDENTIAL CANDIDA TE / IF HOPEFUL IS NOT 1ST AFFECT FOR REPUBLI- CAN PRESIDENTIAL CANDIDA TE : [Think about Donald T rump] How often would you say you’ve felt hopeful because of the kind of person Donald T rump is or because of something he has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161123,PRE: Affect for Republican Pres cand: afraid,"IF AFRAID IS 1ST AFFECT FOR REPUBLICAN PRESIDENTIAL CAN- DIDA TE / IF AFRAID IS NOT 1ST AFFECT FOR REPUBLICAN PRES- IDENTIAL CANDIDA TE : [Think about Donald T rump] How often would you say you’ve felt afraid because of the kind of person Donald T rump is or because of something he has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161124,PRE: Affect for Republican Pres cand: proud,"IF PROUD IS 1ST AFFECT FOR REPUBLICAN PRESIDENTIAL CAN- DIDA TE / IF PROUD IS NOT 1ST AFFECT FOR REPUBLICAN PRES- IDENTIAL CANDIDA TE : [Think about Donald T rump] How often would you say you’ve felt proud because of the kind of person Donald T rump is or because of something he has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161125,PRE: Affect for Republican Pres cand: disgusted,"IF DISGUSTED IS 1ST AFFECT FOR REPUBLICAN PRESIDENTIAL CANDIDA TE / IF DISGUSTED IS NOT 1ST AFFECT FOR REPUBLI- CAN PRESIDENTIAL CANDIDA TE : [Think about Donald T rump] How often would you say you’ve felt disgusted because of the kind of person Don- ald T rump is or because of something he has done – [never, some of the time, about half the time, most of the time, or always/ always, most of the time, about half the time, some of the time, or never]? RANDOMIZA TION: Order of Pres cands. Order of affects F orward/reverse response option order","1. Never
2. Some of the time
3. About half the time
4. Most of the time
5. Always
","-8. Don’t know (FTF only)
-9. Refused
"
V161126,PRE: 7pt scale Liberal conservative self-placement,"Where would you place yourself on this scale, or haven’t you thought much about this? DO NOT PROBE F or W eb administration, DO NOT PROBE was omitted for the option ‘Haven’t thought much about this’ .","1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the
5. Slightly conservative
6. Conservative
7. Extremely conservative
99. Haven’t thought much
","-8. Don’t know (FTF only)
-9. Refused
"
V161127,PRE: If R had to choose liberal or conservative self-placemt,"IF LIBERAL-CONSER V A TIVE SELF-PLACEMENT IS MODERA TE, DK, OR HA VEN’T THOUGHT: If you had to choose, would you consider yourself a liberal or a conservative? F or W eb administration ‘Moderate’ was displayed for response option 3.","1. Liberal
2. Conservative
3. Moderate
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161128,PRE: 7pt scale liberal conservative - Dem Pres cand,"(Still looking at page [PRELOAD: page]) Where would you place Hillary Clinton on this scale? DO NOT PROBE DON’T KNOW F or W eb administration, the optional reference to the respondent booklet was omitted. RANDOMIZA TION: Order of Pres cands","1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161129,PRE: 7pt scale liberal conservative - Rep Pres cand,"(Still looking at page [PRELOAD: page]) Where would you place Donald T rump on this scale? DO NOT PROBE DON’T KNOW F or W eb administration, the optional reference to the respondent booklet was omitted. RANDOMIZA TION: Order of Pres cands","1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161130,PRE: 7pt scale liberal conservative Dem party,"(Still looking at page [PRELOAD: page]) Where would you place the Demo- cratic Party on this scale? DO NOT PROBE DON’T KNOW F or W eb administration, the optional reference to the respondent booklet was omitted. RANDOMIZA TION: Order of major parties","1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161131,PRE: 7pt scale liberal conservative Rep party,"(Still looking at page [PRELOAD: page]) Where would you place the Re- publican Party on this scale? DO NOT PROBE DON’T KNOW F or W eb administration, the optional reference to the respondent booklet was omitted. RANDOMIZA TION: Order of major parties","1. Extremely liberal
2. Liberal
3. Slightly liberal
4. Moderate, middle of the road
5. Slightly conservative
6. Conservative
7. Extremely conservative
","-8. Don’t know (FTF only)
-9. Refused
"
V161132,PRE: SUMMAR Y - PLACEMENT 1 or PLACEMENT 2,Not applicable,"10. Assigned to early
11. Assigned to early
20. Assigned to late
21. Assigned to late
1. Extremely likely
2. V ery likely
3. Moderately likely
4. Slightly likely
5. Not likely at all","-1. INAP , voter (11 in
-9. Refused"
V161133,PRE: PLACEMENT 1: How likely is it R will vote in Nov,"IF R HAS NOT INDICA TED DEFINITEL Y VOTED EARL Y IN THE 2016 ELECTIONS: IF R IS SELECTED FOR EARL Y PLACEMENT OF THIS QUESTION: How likely is it that you will vote in the general election this November? [Extremely likely , very likely , moderately likely , slightly likely , or not likely at all / Not likely at all, slightly likely , moderately likely , very likely , or extremely likely]? Respondents were assigned to early or late placement of this question. RANDOMIZA TION: Placement of question (early or late) Randomized re- sponse option order except last",,
V161134a,PRE: PLACEMENT1: Percent for Democratic Pres candidate,"IF R IS ASSIGNED TO EARL Y PLACEMENT OF PRES CAND PER- CENT AGE QUESTIONS: Now, thinking about only the votes cast for the two major parties, what percentage of the vote do you think Hillary Clinton and Donald T rump will each receive in the national vote? Respondents were assigned to early or late placement of this question. F or W eb administration ‘Type the numbers’ was displayed. As an error in face-to-face administra- tion, this question was not asked of voters. RANDOMIZA TION: Placement of question (early or late) 86 unique outcomes. 20 most frequently appearing outcomes: ANES 2016 Codebook - V ersion 20190904 - page 212",,
V161134b,PRE: PLACEMENT1: Percent for Republican Pres candidate,"IF R IS ASSIGNED TO EARL Y PLACEMENT OF PRES CAND PER- CENT AGE QUESTIONS: Now, thinking about only the votes cast for the two major parties, what percentage of the vote do you think Hillary Clinton and Donald T rump will each receive in the national vote? Respondents were assigned to early or late placement of this question. F or W eb administration ‘Type the numbers’ was displayed. As an error in face-to-face administra- tion, this question was not asked of voters. RANDOMIZA TION: Placement of question (early or late) 81 unique outcomes. 20 most frequently appearing outcomes: ANES 2016 Codebook - V ersion 20190904 - page 214",,
V161135a,PRE: PLACEMENT1: State percent for Democratic Pres candidate,"IF R IS ASSIGNED TO EARL Y PLACEMENT OF PRES CAND PER- CENT AGE QUESTIONS: Thinking about only the votes cast for the two major parties, what percentage of the vote do you think Hillary Clinton and Donald T rump will each receive in your state? Respondents were assigned to early or late placement of this question. F or W eb administration ‘Type the numbers’ was displayed. As an error in face-to-face administration, this question was not asked of voters. RANDOMIZA TION: Placement of question (early or late) 81 unique outcomes. 20 most frequently appearing outcomes: ANES 2016 Codebook - V ersion 20190904 - page 216",,
V161135b,PRE: PLACEMENT1: State percent for Republican Pres candidate,"IF R IS ASSIGNED TO EARL Y PLACEMENT OF PRES CAND PER- CENT AGE QUESTIONS: Thinking about only the votes cast for the two major parties, what percentage of the vote do you think Hillary Clinton and Donald T rump will each receive in your state? Respondents were assigned to early or late placement of this question. F or W eb administration ‘Type the numbers’ was displayed. As an error in face-to-face administration, this question was not asked of voters. RANDOMIZA TION: Placement of question (early or late) 81 unique outcomes. 20 most frequently appearing outcomes: ANES 2016 Codebook - V ersion 20190904 - page 218",,
V161136,PRE: Party Control or split government,"Do you think it is better when one party controls both the presidency and Congress, better when control is split between the Democrats and Republi- cans, or doesn’t it matter?","1. Better when one party
2. Better when control is split
3. It doesnt matter
","-8. Don’t know (FTF only)
-9. Refused
"
V161137,PRE: Income gap today more or less than 20 years ago,"Do you think the difference in incomes between rich people and poor people in the United States today is larger, smaller, or about the same as it was 20 years ago?","1. Larger
2. Smaller
3. About the same
1. Much larger
2. Somewhat larger
3. About the same
4. Somewhat smaller
5. Much smaller","-8. Don’t know (FTF only)
-9. Refused
-2. Missing: -8,-9 in"
V161138a,PRE: How much larger is income gap today,IF INCOME GAP TODA Y IS LARGER THAN IT W AS 20 YEARS AGO: (W ould you say the difference in incomes is) much larger or somewhat larger? F or W eb administration the parentheses indicating optional text were omit- ted.,"1. Much
2. Somewhat
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161138b,PRE: How much smaller is income gap today,IF INCOME GAP TODA Y IS SMALLER THAN IT W AS 20 YEARS AGO: (W ould you say the difference in incomes is) much smaller or somewhat smaller? F or W eb administration the parentheses indicating optional text were omitted.,"1. Much
2. Somewhat
","-1. INAP ,
"
V161138x,PRE: SUMMAR Y - larger/smaller income gap today,Not applicable,,
V161139,PRE: Current economy good or bad,"What do you think about the state of the economy these days in the United States? W ould you say the state of the economy is [very good, good, neither good nor bad, bad, or very bad / very bad, bad, neither good nor bad, good, or very good]? F orward/reverse response option order","1. V ery good
2. Good
3. Neither good nor bad
4. Bad
5. V ery bad
1. Much better
2. Somewhat better
3. About the same
4. Somewhat worse
5. Much worse","-8. Don’t know (FTF only)
-9. Refused
-2. Missing: -8,-9 in"
V161140,PRE: National economy better worse in last year,"Now thinking about the economy in the country as a whole, would you say that over the past year the nation’s economy has gotten better, stayed about the same, or gotten worse?","1. Gotten better
2. Stayed about the same
3. Gotten worse
","-8. Don’t know (FTF only)
-9. Refused
"
V161140a,PRE: How much national economy better worse in last year,IF R THINKS THE ECONOMY HAS GOTTEN BETTER IN THE P AST YEAR / IF R THINKS THE ECONOMY HAS GOTTEN WORSE IN THE P AST YEAR: [Much better or somewhat better? / Much worse or somewhat worse?],"1. Much
2. Somewhat
","-1. INAP ,
-9. Refused
"
V161140x,PRE: SUMMAR Y - economy better/worse in last year,Not applicable,,
V161141,PRE: Economy better or worse in next 12 months,"What about the next 12 months? Do you expect the economy , in the country as a whole, to get better, stay about the same, or get worse?","1. Get better
2. Stay about the same
3. Get worse
1. Get much better
2. Get somewhat better
3. About the same
4. Get somewhat worse
5. Get much worse","-8. Don’t know (FTF only)
-9. Refused
-2. Missing: -8,-9 in"
V161141a,PRE: How much econ better worse next 12 months,IF R THINKS ECONOMY WILL BE BETTER IN NEXT 12 MONTHS / IF R THINKS ECONOMY WILL BE WORSE IN NEXT 12 MONTHS: [Much better or somewhat better / Much worse or somewhat worse]?,"1. Much
2. Somewhat
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161141x,PRE: SUMMAR Y - economy better/worse in next year,Not applicable,,
V161142,PRE: Unemployment better or worse in last year,"W ould you say that over the past year, the level of unemployment in the country has gotten better, stayed about the same, or gotten worse?","1. Better
2. About the same
3. W orse
1. Much better
2. Somewhat better
3. About the same
4. Somewhat worse
5. Much worse","-8. Don’t know (FTF only)
-9. Refused
-2. Missing: -8,-9 in"
V161142a,PRE: How much unemployment better or worse in last year,IF R SA YS UNEMPLOYMENT HAS GOTTEN BETTER / IF R SA YS UNEMPLOYMENT HAS GOTTEN WORSE: [W ould you say much better or somewhat better / W ould you say much worse or somewhat worse]?,"1. Much
2. Somewhat
","-8. Don’t know (FTF only)
-9. Refused
"
V161142x,PRE: SUMMAR Y: more/less unemployment in last year,Not applicable,,
V161143,PRE: More or less unemployment in next year,"How about people out of work during the coming 12 months – do you think that there will be more unemployment than now, about the same, or less?","1. More
2. About the same
3. Less
","-8. Don’t know (FTF only)
-9. Refused
"
V161144,PRE: Which party better: handling nations economy,"Which party do you think would do a better job of handling the na- tion’s economy ... [the Democrats, the Republicans / the Republicans, the Democrats], or wouldn’t there be much difference between them? IF ‘DK’ OR ‘NEITHER P AR TY’ IS VOLUNTEERED, DO NOT PROBE F or W eb administration response option 4 did not appear. RANDOMIZA TION: Order of parties in question text","1. Democrats
2. Republicans
3. Not much difference
4. Neither party
","-8. Don’t know (FTF only)
-9. Refused
"
V161145,PRE: Care who wins Presidential Election revised version,"How much do you care who wins the presidential election this fall? [A great deal, a lot, a moderate amount, a little, or not at all / Not at all, a little, a moderate amount, a lot, or a great deal]? F orward/reverse response option order","1. A great deal
2. A lot
3. A moderate amount
4. A little
5. Not at all
","-8. Don’t know (FTF only)
-9. Refused
"
V161146,PRE: Who does R think will be elected President,Who do you think will be elected President in November? F or W eb admin- istration VOL did not appear for response option 5.,"1. Hillary Clinton
2. Donald T rump
3. Other Specify , specified as:
4. Other Specify , specified as:
5. Other SPECIFY
6. Other specify as statement
7. Other specify given as: DK
8. Other Specify- no
9. Other Specify- don’t care,
","-8. Don’t know (FTF only)
-9. Refused
"
V161147,PRE: Will Pres race be a close or will (winner) win by a lot,IF R THINKS DEMOCRA TIC PRES CANDIDA TE WILL WIN ELEC- TION / IF R THINKS REPUBLICAN PRES CANDIDA TE WILL WIN ELECTION / IF R THINKS OTHER PRES CAND WILL WIN ELEC- TION / IF R DOESN’T KNOW WHO WILL WIN PRESIDENTIAL ELEC- TION: Do you think the Presidential race will be close or will [Hillary Clin- ton / Donald T rump /preswin.prespred other name / one candidate] win by quite a bit ?,"1. Will be close
2. Win by quite a bit
","-1. INAP , -9 in V161146
-8. Don’t know (FTF only)
-9. Refused
"
V161148,PRE: Which Pres cand will carry state,What about here in [PRELOAD: sample state]? Which candidate for Presi- dent do you think will carry this state? IF NECESSAR Y: Which candidate will win in this state? F or W eb administration VOL did not appear for response option 5.,"1. Hillary Clinton
2. Donald T rump
3. Other Specify , specified as:
5. Other SPECIFY
6. Other specify as statement
7. Other specify given as: DK
8. Other Specify- no
9. Other Specify- don’t care,
","-8. Don’t know (FTF only)
-9. Refused
"
V161149,PRE: Will Pres race be close in state,IF R THINKS DEMOCRA TIC PRES CANDIDA TE WILL WIN ELEC- TION / IF R THINKS REPUBLICAN PRES CANDIDA TE WILL WIN ELECTION / IF R THINKS OTHER PRES CAND WILL WIN ELEC- TION / IF R DOESN’T KNOW WHO WILL WIN PRESIDENTIAL ELEC- TION: Do you think the Presidential race will be close here in [PRELOAD: sample state] or will [Hillary Clinton / Donald T rump /preswin.prwinst other name / one candidate] win by quite a bit ?,"1. Will be close
2. Win by quite a bit
","-1. INAP , -9 in V161148
-8. Don’t know (FTF only)
-9. Refused
"
V161150a,PRE: VERSION 1A placement- Does R consider voting a duty or choice,"IF R SELECTED FOR VERSION 1A OF VERSION 1A / VERSION 1B SPLICE: Different people feel differently about voting. F or some, voting is a duty - they feel they should vote in every election no matter how they feel about the candidates and parties. F or others voting is a choice - they feel free to vote or not to vote, depending on how they feel about the candidates and parties. F or you personally , is voting mainly a duty , mainly a choice, or neither a duty nor a choice? RANDOMIZA TION: Selection for word order, duty or choice first in question","1. Mainly a duty
2. Mainly a choice
3. Neither a duty nor a choice1. V ery strongly feel that
2. Moderately strongly feel
3. A little strongly feel that
4. F eel that voting is neither
5. A little strongly feel that
6. Moderately strongly feel
7. V ery strongly feel that","-1. INAP , selected for version
-8. Don’t know (FTF only)
-9. Refused-2. Missing: -8,-9 in"
V161150b,PRE: VERSION 1B placement- Does R consider voting a choice or duty,"IF R SELECTED FOR VERSION 1B OF VERSION 1A / VERSION 1B SPLICE: Different people feel differently about voting. F or some, voting is a choice - they feel free to vote or not to vote, depending on how they feel about the candidates and parties. F or others voting is a duty - they feel they should vote in every election no matter how they feel about the candidates and parties. F or you personally , is voting mainly a choice, mainly a duty , or neither a choice nor a duty? RANDOMIZA TION: Selection for word order, duty or choice first in question","1. Mainly a choice
2. Mainly a duty
3. Neither a duty nor a choice
","-1. INAP , selected for version
-9. Refused
"
V161151a,PRE: How strongly does R feel that voting is a duty,"IF R CONSIDERS VOTING A DUTY: How strongly do you feel that voting is a duty? [V ery strongly , moderately strongly , or a little strongly / A little strongly , moderately strongly , or very strongly]? F orward/reverse response option order",,
V161050b,,,"1. V ery strongly
2. Moderately strongly
3. A little strongly
1. V ery strongly
2. Moderately strongly
3. A little strongly","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused"
V161151b,PRE: How strongly does R feel that voting is a choice,"IF R CONSIDERS VOTING A CHOICE: How strongly do you feel that voting is a choice? [V ery strongly , moderately strongly , or a little strongly / A little strongly , moderately strongly , or very strongly]? F orward/reverse response option order",,
V161151x,PRE: SUMMAR Y - V oting as duty or choice,Not applicable,,
V161152,"PRE: During last year, U.S. position in world weaker str","T urning to some other types of issues facing the country . During the past year, would you say that the United States’ position in the world has grown weaker, stayed about the same, or has it grown stronger?","1. W eaker
2. Stayed about the same
3. Stronger
","-8. Don’t know (FTF only)
-9. Refused
"
V161153,PRE: Country would be better off if we just stayed home,Do you agree or disagree with this statement: ‘This country would be better off if we just stayed home and did not concern ourselves with problems in other parts of the world. ’,"1. Agree
2. Disagree
","-8. Don’t know (FTF only)
-9. Refused
"
V161154,PRE: F orce to solve international problems,"How willing should the United States be to use military force to solve in- ternational problems? [Extremely willing, very willing, moderately willing, a little willing, or not at all willing / Not at all willing, a little willing, moderately willing, very willing, or extremely willing]? F orward/reverse response option order","1. Extremely willing
2. V ery willing
3. Moderately willing
4. A little willing
5. Not at all willing
","-8. Don’t know (FTF only)
-9. Refused
"
V161155,"PRE: Party ID: Does R think of self as Dem, Rep, Ind or what","Generally speaking, do you usually think of yourself as [a Democrat, a Re- publican / a Republican, a Democrat], an independent, or what? F or W eb administration response option 0 did not appear. RANDOMIZA TION: Order of parties in question text","0. No preference (FTF ONL Y)
1. Democrat
2. Republican
3. Independent
5. Other party SPECIFY
4. Other specify given as:
5. Other party SPECIFY
6. Other specify given as: no
7. Other specify given as: DK
8. Other Specify- no","-8. Don’t know (FTF only)
-9. Refused
-1. INAP ,"
V161155a,PRE: Party ID other specifys,"Generally speaking, do you usually think of yourself as [a Democrat, a Re- publican / a Republican, a Democrat], an independent, or what? F or W eb administration response option 0 did not appear. RANDOMIZA TION: Order of parties in question text",,
V161156,PRE: Party Identification strong - Democrat Republican,IF R CONSIDERS SELF A DEMOCRA T: / IF R CONSIDERS SELF A REPUBLICAN : W ould you call yourself a strong [Democrat / Republican] or a not very strong [Democrat / Republican]?,"1. Strong
2. Not very strong
","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused
"
V161157,PRE: No Party Identification - closer to Dems or Reps,"IF R’S P AR TY IDENTIFICA TION IS INDEPENDENT, NO PREFER- ENCE, OTHER, DK: Do you think of yourself as closer to the Republican Party or to the Democratic Party? F or W eb administration VOL did not appear for response option 2.","1. Closer to Republican
2. Neither
3. Closer to Democratic1. Strong Democrat
2. Not very strong Democract
3. Independent-Democrat
4. Independent
5. Independent-Republican
6. Not very strong
7. Strong Republican","-1. INAP ,
-8. Don’t know (FTF only)
-9. Refused-8. DK (-8) in V161156 or
-9. RF (-9) in V161155 (FTF"
V161158x,PRE: SUMMAR Y - Party ID,Not applicable,,
V161159,PRE: Pres Dem cand trait strong leadership,"IF TRAIT IS 1ST TRAIT FOR DEMOCRA TIC PRESIDENTIAL CAN- DIDA TE / IF TRAIT IS NOT 1ST TRAIT FOR DEMOCRA TIC PRES- IDENTIAL CANDIDA TE: [Think about Hillary Clinton. In your opinion, does the phrase ‘she provides strong leadership’ describe Hillary Clinton [extremely well, very well, moderately well, slightly well, or not well at all/ not well at all, slightly well, moderately well, very well, or extremely well]? / (What about) ‘provides strong leadership’? Does this phrase describe Hillary Clinton [extremely well, very well, moderately well, slightly well, or not well at all/ not well at all, slightly well, moderately well, very well, or extremely well]?] DO NOT PROBE DON’T KNOW F or W eb administration the parentheses indicating optional text were omitted. RANDOMIZA TION: Order of Pres cands. Order of traits exc. even- tempered (fixed last). F orward/reverse response option order","1. Extremely well
2. V ery well
3. Moderately well
4. Slightly well
5. Not well at all
","-8. Don’t know (FTF only)
-9. Refused
"
V161160,PRE: Pres Dem cand trait really cares,"IF TRAIT IS NOT 1ST TRAIT FOR DEMOCRA TIC PRESIDENTIAL CANDIDA TE: (What about) ‘really cares about people like you’? Does this phrase describe Hillary Clinton [extremely well, very well, moderately well, slightly well, or not well at all/ not well at all, slightly well, moderately well, very well, or extremely well]? DO NOT PROBE DON’T KNOW F or W eb administration the parentheses indicating optional text were omitted. RANDOMIZA TION: Order of Pres cands. Order of traits exc. even- tempered (fixed last). F orward/reverse response option order","1. Extremely well
2. V ery well
3. Moderately well
4. Slightly well
5. Not well at all
","-8. Don’t know (FTF only)
-9. Refused
"
